date,open,high,low,close,,,
10/4/2023,422.07,425.4299,420.56,424.66,,,
10/5/2023,424.36,425.37,421.1701,424.5,,,
10/6/2023,421.97,431.125,420.6,429.54,,,
10/9/2023,427.58,432.88,427.0101,432.29,,,
10/10/2023,432.94,437.22,432.53,434.54,,,
10/11/2023,435.64,436.58,433.18,436.32,,,
10/12/2023,436.95,437.335,431.23,433.66,,,
10/13/2023,435.21,436.45,429.88,431.5,,,
10/16/2023,433.82,437.14,433.57,436.04,,,
10/17/2023,432.81,438.14,432.45,436.02,,,
10/18/2023,434.19,435.18,429.09,430.21,,,
10/19/2023,430.95,432.82,425.725,426.43,,,
10/20/2023,425.98,426.54,421.08,421.19,,,
10/23/2023,419.61,424.45,417.8,420.46,,,
10/24/2023,422.65,424.82,420.74,423.63,,,
10/25/2023,421.89,421.92,417.015,417.55,,,
10/26/2023,416.45,417.325,411.6,412.55,,,
10/27/2023,414.19,414.6,409.21,410.68,,,
10/30/2023,413.56,416.68,412.22,415.59,,,
10/31/2023,416.18,418.53,414.21,418.2,,,
11/1/2023,419.2,423.5,418.6499,422.66,,,
11/2/2023,426.58,430.915,426.56,430.76,,,
11/3/2023,433.14,436.29,433.01,434.69,,,
11/6/2023,435.47,436.1498,433.68,435.69,,,
11/7/2023,435.69,437.585,434.51,436.93,,,
11/8/2023,437.55,438.09,434.87,437.25,,,
11/9/2023,438.43,438.47,433.4,433.84,,,
11/10/2023,435.98,440.93,433.8335,440.61,,,
11/13/2023,439.23,441.33,438.42,440.19,,,
11/14/2023,446.32,450.06,446.09,448.73,,,
11/15/2023,450.11,451.38,448.8,449.68,,,
11/16/2023,449.22,450.56,448.12,450.23,,,
11/17/2023,450.24,451.42,449.29,450.79,,,
11/20/2023,450.53,455.125,450.52,454.26,,,
11/21/2023,453.1842,454.131,451.9599,453.27,,,
11/22/2023,454.98,456.38,453.8895,455.02,,,
11/24/2023,455.07,455.5,454.73,455.3,,,
